interview__key,interview__id,land_parcels__id,i01_3,i02__0,i02__1,i02__2,i02__3,i02__4,i02__5,i02__6,i02__7,i03,i04,i05,i06,i07__1,i07__2,i07__3,i07__4,i07__5,i07__6,i07__7,i07__8,i07__9,i07__10,i07__11,i07__96,i08,i09,i10,i11,i12,i13
02-12-94-57,688ecf69b5f84434ab6d382cfc1505fd,1,Purchased,1.0,,,,,,,,Taita-Taveta,Private,Freehold,Sale Agreement,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Yes,,Yes,,Not at all Likely,
17-36-07-25,0f5f92252d4d4f3c81d080f8f39f65d8,1,Allocated By Family Member,1.0,,,,,,,,Nyamira,Private,Freehold,None,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Yes,,Yes,,Not at all Likely,
17-36-07-25,0f5f92252d4d4f3c81d080f8f39f65d8,2,Purchased,1.0,,,,,,,,Nyamira,Private,Freehold,Sale Agreement,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Yes,,Yes,,Not at all Likely,
72-55-78-11,14a0a2f9bc264ee482228d63c82a04a2,1,Purchased,1.0,,,,,,,,Migori,Private,Freehold,Title deed,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Yes,,Yes,,Moderately Likely,Community/ other conflicts
51-46-69-22,23d42847ae0f4cd2af7f1ffe47b7e043,1,Allocated By Family Member,1.0,,,,,,,,Nyamira,Private,Freehold,None,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Yes,,Yes,,Slightly Likely,Intra-family
49-84-78-47,6b78e5e8b185485eb38050415a462dd9,1,Allocated By Family Member,1.0,,,,,,,,Nyamira,Private,Freehold,Title deed,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Yes,,Yes,,Not at all Likely,
66-83-53-30,9f7d22449964470fbf87abd531395ec6,1,Allocated By  Non Relative,1.0,,,,,,,,Isiolo,Community land,Freehold,None,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,No,Customary Leader,No,Customary Leader,Very Likely,Community/ other conflicts
50-34-06-97,ccab7430c6db4694be35722d3f027d2f,1,Allocated By  Non Relative,2.0,,,,,,,,Isiolo,Community land,Freehold,None,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,No,Customary Leader,No,Customary Leader,Moderately Likely,"Corruption in land administration system (e.g., forgery of documents etc.)"
43-02-46-13,6d1b2b6b08b84009aaab27953330a530,1,Inherited,1.0,,,,,,,,Nyamira,Private,Customary,None,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Yes,,Yes,,Not at all Likely,
17-86-82-90,0e5c728024f54d439a9813341b69cabd,1,Purchased,1.0,,,,,,,,Garissa,Private,Freehold,Title deed,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Yes,,Yes,,Not at all Likely,
17-86-82-90,0e5c728024f54d439a9813341b69cabd,2,Purchased,1.0,,,,,,,,Garissa,Private,Freehold,Title deed,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Yes,,Yes,,Not at all Likely,
80-79-89-76,e7a0bc923618479ca81470c10e0160cd,1,Purchased,1.0,,,,,,,,Bomet,Private,Freehold,Sale Agreement,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Yes,,Yes,,Not at all Likely,
52-92-54-75,aef4cb90dc8c4c4dbad322a28a2adc18,1,Inherited,1.0,,,,,,,,Meru,Private,Freehold,Title deed,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Yes,,Yes,,Not at all Likely,
97-66-85-08,b742f1115fd947ceade78e9bf57b3345,1,Inherited,1.0,,,,,,,,Nakuru,Private,Freehold,Title deed,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Yes,,Yes,,Not at all Likely,
97-66-85-08,b742f1115fd947ceade78e9bf57b3345,2,Inherited,2.0,,,,,,,,Nakuru,Private,Freehold,Title deed,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Yes,,Yes,,Not at all Likely,
