date,price,observations,year,month,quarter,day_of_year,month_sin,month_cos,price_lag_1m,price_lag_3m,price_lag_6m,price_lag_12m,price_rolling_mean_3m,price_rolling_std_3m,price_rolling_mean_6m,price_rolling_std_6m,price_rolling_mean_12m,price_rolling_std_12m,inflation_mom,inflation_yoy,season,season_harvest_long,season_harvest_short,season_lean,season_normal
2015-07-01,50.03333333333333,9,2015,7,3,182,-0.4999999999999997,-0.8660254037844388,48.8,49.266666666666666,49.21111111111111,56.175,49.34444444444444,0.6292264504352315,49.11296296296297,0.7432466870834691,51.77678240740741,3.43109801759126,2.5273224043715867,-10.93309597982495,normal,False,False,False,True
2015-08-01,50.47777777777778,9,2015,8,3,213,-0.8660254037844385,-0.5000000000000004,50.03333333333333,49.2,49.53333333333333,57.845,49.770370370370365,0.8692506587977433,49.27037037037038,0.927299721591158,51.16284722222222,2.857811002831514,0.8882966910948368,-12.736143525321491,normal,False,False,False,True
2015-09-01,49.07222222222222,9,2015,9,3,244,-1.0,-1.8369701987210297e-16,50.47777777777778,48.8,47.84444444444445,54.4125,49.861111111111114,0.718430216033551,49.475,0.6409652250735576,50.71782407407408,2.718151836898926,-2.784503631961265,-9.814431937105956,normal,False,False,False,True
2015-10-01,48.42777777777778,9,2015,10,4,274,-0.8660254037844386,0.5000000000000001,49.07222222222222,50.03333333333333,49.266666666666666,56.05,49.32592592592593,1.0482839200121956,49.33518518518519,0.7733258833190537,50.08263888888889,2.2000523298160264,-1.3132571040416645,-13.598969174348296,harvest_short,False,True,False,False
2015-11-01,49.84,8,2015,11,4,305,-0.5000000000000004,0.8660254037844384,48.42777777777778,50.47777777777778,49.2,54.675,49.11333333333334,0.7070081285449077,49.44185185185185,0.7947906523547358,49.67972222222223,1.658683041820176,2.9161408741539603,-8.843164151806116,harvest_short,False,True,False,False
2015-12-01,49.892222222222216,9,2015,12,4,335,-2.4492935982947064e-16,1.0,49.84,49.07222222222222,48.8,54.45,49.38666666666666,0.8308325439285438,49.62388888888889,0.7416866830427753,49.2999074074074,0.7275124750973894,0.104779739611181,-8.370574431180508,normal,False,False,False,True
2016-01-01,48.46333333333334,9,2016,1,1,1,0.49999999999999994,0.8660254037844387,49.892222222222216,48.42777777777778,50.03333333333333,49.21111111111111,49.39851851851852,0.8103149314107626,49.36222222222222,0.8389187632652638,49.23759259259259,0.7667755497760302,-2.8639511836625395,-1.5195303680288854,lean,False,False,True,False
2016-02-01,47.68666666666667,9,2016,2,1,32,0.8660254037844386,0.5000000000000001,48.46333333333334,49.84,50.47777777777778,49.53333333333333,48.68074074074074,1.118735139681696,48.897037037037045,0.8698921933113222,49.08370370370371,0.8791069508608975,-1.6025861476030072,-3.7281292059219333,lean,False,False,True,False
2016-03-01,47.82,9,2016,3,1,61,1.0,6.123233995736766e-17,47.68666666666667,49.892222222222216,49.07222222222222,47.84444444444445,47.99,0.4153044398742336,48.68833333333333,0.9645245102456548,49.08166666666667,0.8822622309838895,0.2796029637914152,-0.05109150023224207,lean,False,False,True,False
2016-04-01,29.0,1,2016,4,2,92,0.8660254037844387,-0.4999999999999998,47.82,48.46333333333334,48.42777777777778,49.266666666666666,41.50222222222222,10.827447289865544,45.45037037037037,8.115512220483877,47.39277777777778,5.858740293157888,-39.35591802593058,-41.13667117726658,harvest_long,True,False,False,False
2016-05-01,48.96333333333334,9,2016,5,2,122,0.49999999999999994,-0.8660254037844387,29.0,47.68666666666667,49.84,49.2,41.92777777777778,11.210369373106463,45.30425925925926,8.028096446321532,47.37305555555556,5.852498619854519,68.83908045977013,-0.48102981029809866,harvest_long,True,False,False,False
2016-06-01,49.17777777777778,9,2016,6,2,153,1.2246467991473532e-16,-1.0,48.96333333333334,47.82,49.892222222222216,48.8,42.38037037037037,11.588236709748129,45.18518518518519,7.951368844548572,47.404537037037045,5.861880708884589,0.437969455601686,0.7741347905282377,normal,False,False,False,True
2016-07-01,48.77111111111111,9,2016,7,3,183,-0.4999999999999997,-0.8660254037844388,49.17777777777778,29.0,48.46333333333334,50.03333333333333,48.970740740740744,0.20343450225874027,45.23648148148148,7.977695834202088,47.299351851851846,5.821607771924484,-0.8269317668323536,-2.5227626027093017,normal,False,False,False,True
2016-08-01,48.46111111111111,9,2016,8,3,214,-0.8660254037844385,-0.5000000000000004,48.77111111111111,48.96333333333334,47.68666666666667,50.47777777777778,48.803333333333335,0.35941825424278834,45.36555555555555,8.031351346096404,47.13129629629629,5.750183149053813,-0.6356221807080741,-3.9951573849879054,normal,False,False,False,True
2016-09-01,46.766666666666666,9,2016,9,3,245,-1.0,-1.8369701987210297e-16,48.46111111111111,49.17777777777778,47.82,49.07222222222222,47.999629629629624,1.0789686052106895,45.19,7.97830707003082,46.939166666666665,5.71786247812446,-3.496503496503493,-4.698290501528363,normal,False,False,False,True
2016-10-01,51.166666666666664,9,2016,10,4,275,-0.8660254037844386,0.5000000000000001,46.766666666666666,48.77111111111111,29.0,48.42777777777778,48.79814814814815,2.2192781423815475,48.88444444444445,1.4126460593118284,47.1674074074074,5.836126764210299,9.408410548823946,5.6556154640357885,harvest_short,False,True,False,False
2016-11-01,51.422222222222224,9,2016,11,4,306,-0.5000000000000004,0.8660254037844384,51.166666666666664,48.46111111111111,48.96333333333334,49.84,49.785185185185185,2.6172347421419198,49.29425925925926,1.7552349097706974,47.299259259259266,5.919276757875648,0.49945711183497066,3.1746031746031718,harvest_short,False,True,False,False
2016-12-01,51.94444444444444,9,2016,12,4,336,-2.4492935982947064e-16,1.0,51.422222222222224,46.766666666666666,49.17777777777778,49.892222222222216,51.51111111111111,0.3964347283330682,49.75537037037037,2.056133302191037,47.470277777777774,6.029620304439851,1.0155574762316264,4.113310914638229,normal,False,False,False,True
2017-01-01,54.32222222222222,9,2017,1,1,1,0.49999999999999994,0.8660254037844387,51.94444444444444,51.166666666666664,48.77111111111111,48.46333333333334,52.56296296296296,1.5457761378395194,50.68055555555555,2.6791784027161647,47.958518518518524,6.346237011411859,4.577540106951876,12.08932297040144,lean,False,False,True,False
2017-02-01,55.833333333333336,9,2017,2,1,32,0.8660254037844386,0.5000000000000001,54.32222222222222,51.422222222222224,48.46111111111111,47.68666666666667,54.03333333333333,1.9604736137282515,51.909259259259265,3.11309791057455,48.63740740740741,6.738155194736784,2.781754960114546,17.083741087655532,lean,False,False,True,False
2017-03-01,59.75555555555555,9,2017,3,1,60,1.0,6.123233995736766e-17,55.833333333333336,51.94444444444444,46.766666666666666,47.82,56.63703703703703,2.8044130420266575,54.074074074074076,3.330359166977445,49.63203703703704,7.449854762981996,7.024875621890538,24.95933825921278,lean,False,False,True,False
2017-04-01,63.06666666666667,9,2017,4,2,91,0.8660254037844387,-0.4999999999999998,59.75555555555555,54.32222222222222,51.166666666666664,29.0,59.55185185185186,3.620966608097319,56.0574074074074,4.566585112365505,52.47092592592593,4.941480596955401,5.541093343250289,117.4712643678161,harvest_long,True,False,False,False
2017-05-01,66.98888888888888,9,2017,5,2,121,0.49999999999999994,-0.8660254037844387,63.06666666666667,55.833333333333336,51.422222222222224,48.96333333333334,63.270370370370365,3.620966608097299,58.65185185185185,5.690237108760104,53.973055555555554,6.324496797078171,6.219168428470734,36.81439626024006,harvest_long,True,False,False,False
2017-06-01,68.54444444444444,9,2017,6,2,152,1.2246467991473532e-16,-1.0,66.98888888888888,59.75555555555555,51.94444444444444,49.17777777777778,66.19999999999999,2.822812711629846,61.41851851851851,5.811048084071603,55.58694444444444,7.3735824162146555,2.3221098026206697,39.38093086308177,normal,False,False,False,True
